"emp_no","first_name","last_name","birth_date","from_date","to_date","title"
10095,"Hilari","Morton","1965-01-03",NULL,NULL,"Senior Staff"
10122,"Ohad","Esposito","1965-01-19",NULL,NULL,"Technique Leader"
10291,"Dipayan","Seghrouchni","1965-01-23",NULL,NULL,"Senior Staff"
10410,"Takahito","Gecsei","1965-01-19",NULL,NULL,"Staff"
10476,"Kokou","Iisaka","1965-01-01",NULL,NULL,"Senior Staff"
10480,"Make","Baba","1965-01-25",NULL,NULL,"Staff"
10663,"Teunis","Noriega","1965-01-09",NULL,NULL,"Technique Leader"
10762,"Lech","Himler","1965-01-19",NULL,NULL,"Senior Staff"
10933,"Juyoung","Seghrouchni","1965-01-24",NULL,NULL,"Senior Engineer"
11015,"Jeanna","Riesenhuber","1965-01-24",NULL,NULL,"Senior Staff"
11126,"Hideo","Daescu","1965-01-08",NULL,NULL,"Senior Staff"
11157,"Mario","Cochrane","1965-02-01",NULL,NULL,"Engineer"
11432,"Yongmao","Zwicker","1965-01-15",NULL,NULL,"Engineer"
12155,"Keiichiro","Glinert","1965-01-21",NULL,NULL,"Engineer"
12408,"Rasiah","Sudkamp","1965-01-10",NULL,NULL,"Senior Engineer"
12643,"Morrie","Schurmann","1965-01-30",NULL,NULL,"Staff"
13499,"Kazuhiko","Sidou","1965-01-16",NULL,NULL,"Technique Leader"
13957,"Angus","Chelton","1965-01-10",NULL,NULL,"Senior Engineer"
14075,"Denny","Tchuente","1965-01-03",NULL,NULL,"Assistant Engineer"
14104,"Sudhanshu","Demian","1965-01-03",NULL,NULL,"Senior Staff"
14127,"Magdalena","Cannard","1965-01-10",NULL,NULL,"Engineer"
14158,"Caolyn","Setiz","1965-01-22",NULL,NULL,"Senior Staff"
14476,"Sastry","Marrevee","1965-01-19",NULL,NULL,"Engineer"
14551,"Richard","Sinitsyn","1965-01-18",NULL,NULL,"Senior Staff"
14907,"Nakhoon","Luga","1965-01-14",NULL,NULL,"Senior Staff"
15050,"Nikolaos","Kruskal","1965-01-18",NULL,NULL,"Engineer"
15058,"Bouchung","Bugrara","1965-01-30",NULL,NULL,"Senior Staff"
15376,"Geoff","Soicher","1965-01-10",NULL,NULL,"Senior Staff"
15413,"Arvin","Rabejac","1965-01-17",NULL,NULL,"Engineer"
16461,"Remmert","Schahn","1965-01-14",NULL,NULL,"Senior Staff"
16528,"Gaurav","Swick","1965-01-21",NULL,NULL,"Assistant Engineer"
17013,"Morris","Garigliano","1965-01-15",NULL,NULL,"Senior Staff"
17206,"Berry","DeMori","1965-01-02",NULL,NULL,"Engineer"
17369,"Yaghout","Kenevan","1965-01-31",NULL,NULL,"Engineer"
17447,"Zengping","Boreale","1965-01-11",NULL,NULL,"Staff"
17618,"Teiji","Picco","1965-01-12",NULL,NULL,"Staff"
17731,"Gennady","Roison","1965-01-16",NULL,NULL,"Assistant Engineer"
17799,"Gro","Gini","1965-01-28",NULL,NULL,"Engineer"
17970,"Filipp","Carrere","1965-01-06",NULL,NULL,"Technique Leader"
17988,"Mabhin","Calkin","1965-01-31",NULL,NULL,"Engineer"
18021,"Adil","Matzke","1965-01-07",NULL,NULL,"Engineer"
18187,"Denis","Falster","1965-01-08",NULL,NULL,"Staff"
18424,"Filipp","Rousseau","1965-01-19",NULL,NULL,"Engineer"
18583,"Stafford","Honglei","1965-01-03",NULL,NULL,"Staff"
18617,"Surveyors","Crouzet","1965-01-21",NULL,NULL,"Senior Staff"
18810,"Taiji","Jarecki","1965-01-09",NULL,NULL,"Engineer"
19236,"Elzbieta","Morris","1965-01-24",NULL,NULL,"Engineer"
19350,"Satoru","Yoshizawa","1965-01-19",NULL,NULL,"Senior Staff"
19803,"Ziva","Kowalchuk","1965-01-30",NULL,NULL,"Engineer"
20100,"Utz","Heuter","1965-01-18",NULL,NULL,"Senior Staff"
20128,"Kazunori","Peak","1965-01-23",NULL,NULL,"Senior Staff"
20129,"Rafael","Skafidas","1965-01-10",NULL,NULL,"Engineer"
20248,"Vidar","Demri","1965-01-12",NULL,NULL,"Staff"
20313,"Candida","Benveniste","1965-01-24",NULL,NULL,"Engineer"
20500,"Christoph","Trystram","1965-01-30",NULL,NULL,"Senior Staff"
20712,"Valeri","Escriba","1965-01-26",NULL,NULL,"Engineer"
20720,"Heejo","Brodie","1965-01-17",NULL,NULL,"Senior Staff"
20885,"Otmar","Rothenberg","1965-01-21",NULL,NULL,"Engineer"
21181,"Jianhui","Cangellaris","1965-01-21",NULL,NULL,"Assistant Engineer"
21188,"Piyush","Danecki","1965-01-21",NULL,NULL,"Engineer"
21534,"Alagu","Luders","1965-01-12",NULL,NULL,"Staff"
21546,"Yongmin","Lanteri","1965-01-01",NULL,NULL,"Senior Staff"
21843,"Karsten","Azadmanesh","1965-01-09",NULL,NULL,"Senior Engineer"
21909,"Mohammed","Brizzi","1965-01-04",NULL,NULL,"Senior Staff"
22027,"Sangeeta","Georg","1965-01-27",NULL,NULL,"Staff"
22185,"Huai","Birch","1965-01-29",NULL,NULL,"Assistant Engineer"
22415,"Perla","Jumpertz","1965-01-20",NULL,NULL,"Senior Staff"
22451,"Jasminko","Bresenham","1965-01-27",NULL,NULL,"Senior Staff"
22455,"Barry","Unno","1965-01-06",NULL,NULL,"Senior Staff"
22502,"Rutger","Binkley","1965-01-29",NULL,NULL,"Senior Engineer"
22926,"Manibrata","Genther","1965-01-01",NULL,NULL,"Engineer"
23396,"Hilari","Fairtlough","1965-01-02",NULL,NULL,"Technique Leader"
24080,"Jaana","Perez","1965-01-26",NULL,NULL,"Technique Leader"
24189,"Abdelaziz","Atrawala","1965-01-16",NULL,NULL,"Staff"
24205,"Roddy","Rubsam","1965-01-25",NULL,NULL,"Senior Engineer"
24377,"Lubomir","Wroclawski","1965-01-25",NULL,NULL,"Engineer"
24394,"Zhonghui","Conta","1965-01-04",NULL,NULL,"Staff"
24421,"Dannz","Grospietsch","1965-01-10",NULL,NULL,"Senior Engineer"
24553,"Anwar","Passafiume","1965-01-12",NULL,NULL,"Senior Staff"
24571,"Cordelia","Gischer","1965-01-20",NULL,NULL,"Engineer"
25488,"Ingmar","Basawa","1965-01-19",NULL,NULL,"Senior Staff"
